epoch,time,train/cls_loss,train/off_loss,train/placeholder,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/cls_loss,val/off_loss,val/placeholder,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
103,12065.5,5.11879,1.25782,0,0,0,0,0,5.04885,1.22109,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,12182.2,5.10133,1.25619,0,0,0,0,0,5.05488,1.2185,0,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,12296.2,5.10867,1.25732,0,0,0,0,0,5.03591,1.21646,0,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,12413.7,5.09292,1.25795,0,0,0,0,0,5.0687,1.21945,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,12531.2,5.05404,1.25276,0,0,0,0,0,5.04787,1.21769,0,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,12645.3,5.10941,1.25763,0,0,0,0,0,5.06358,1.21862,0,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,12762.6,5.0923,1.25442,0,0,0,0,0,5.04197,1.21779,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,12877.2,5.07616,1.25424,0,0,0,0,0,5.04642,1.21785,0,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,12993.9,5.03304,1.24883,0,0,0,0,0,5.06548,1.21994,0,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,13110.5,5.03429,1.25049,0,0,0,0,0,5.07652,1.21822,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,13224.8,5.07245,1.25399,0,0,0,0,0,5.06422,1.21896,0,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,13342.5,5.0164,1.24905,0,0,0,0,0,5.04989,1.21831,0,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,13456.8,5.02859,1.25196,0,0,0,0,0,5.06053,1.21929,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,13572.8,5.05483,1.25008,0,0,0,0,0,5.07711,1.2209,0,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,13690.1,5.03272,1.2511,0,0,0,0,0,5.05277,1.21794,0,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,13804.4,5.01063,1.24789,0,0,0,0,0,5.05729,1.21784,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,13922.5,5.04428,1.25174,0,0,0,0,0,5.0759,1.21921,0,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
